filename, D_total_true, D_total_pred, error, raw_pred_vector
Gen_R4_081.pt, 3.0000, 2.9543, 0.045737, "[ 0.99 -0.03  1.96  1.97]"
Gen_R4_082.pt, 1.0000, 0.9942, 0.005845, "[ 0.99 -0.09 -0.03 -0.04]"
Gen_R4_083.pt, 1.0000, 0.9934, 0.006589, "[ 0.99 -0.02 -0.01  0.  ]"
Gen_R4_084.pt, 1.0000, 0.9944, 0.005615, "[ 0.99 -0.02 -0.02 -0.02]"
Gen_R4_085.pt, 1.0000, 1.0152, 0.015166, "[ 0.99 -0.01  0.    0.22]"
Gen_R4_086.pt, 1.4142, 1.3854, 0.028807, "[ 0.99 -0.03 -0.01  0.97]"
Gen_R4_087.pt, 1.4142, 1.3955, 0.018758, "[ 1.   -0.02  0.    0.98]"
Gen_R4_088.pt, 1.4142, 1.3984, 0.015772, "[ 1.   -0.03  0.    0.98]"
Gen_R4_089.pt, 1.4142, 1.4364, 0.022156, "[ 1.   -0.03  0.02  1.03]"
Gen_R4_090.pt, 1.4142, 1.4020, 0.012263, "[ 0.99 -0.02 -0.    0.99]"
Gen_R4_091.pt, 1.4142, 1.3503, 0.063889, "[ 0.98 -0.02  0.02  0.93]"
Gen_R4_092.pt, 1.4142, 1.3961, 0.018102, "[ 0.99 -0.01 -0.01  0.98]"
Gen_R4_093.pt, 1.4142, 1.3948, 0.019372, "[ 0.99 -0.    0.01  0.99]"
Gen_R4_094.pt, 1.9021, 1.8457, 0.056454, "[ 0.99 -0.02 -0.04  1.56]"
Gen_R4_095.pt, 1.9021, 1.8503, 0.051802, "[ 0.99 -0.02 -0.01  1.56]"
Gen_R4_096.pt, 1.9021, 1.8567, 0.045422, "[ 1.   -0.01 -0.02  1.57]"
Gen_R4_097.pt, 1.9021, 1.8814, 0.020703, "[ 1.   -0.02  0.02  1.6 ]"
Gen_R4_098.pt, 1.4142, 1.4365, 0.022255, "[ 1.   -0.01 -0.01  1.03]"
Gen_R4_099.pt, 1.4142, 1.3938, 0.020398, "[1.   0.   0.02 0.97]"
Gen_R4_100.pt, 1.4142, 1.4271, 0.012855, "[ 1.01 -0.   -0.01  1.01]"
Gen_R4_101.pt, 1.4142, 1.4647, 0.050450, "[ 1.   -0.03  0.04  1.07]"
Gen_R4_102.pt, 1.4142, 1.4235, 0.009270, "[ 1.   -0.04  0.01  1.01]"
Gen_R4_103.pt, 1.4142, 1.3934, 0.020802, "[ 0.99 -0.01  0.01  0.98]"
Gen_R4_104.pt, 1.4142, 1.4103, 0.003865, "[ 1.   -0.05 -0.01  0.99]"
Gen_R4_105.pt, 1.4142, 1.4000, 0.014204, "[ 1.   -0.01  0.02  0.98]"
Gen_R4_106.pt, 1.4142, 1.4111, 0.003141, "[ 1.   -0.04 -0.01  0.99]"
Gen_R4_107.pt, 1.4142, 1.3979, 0.016330, "[ 1.   -0.03  0.01  0.98]"
Gen_R4_108.pt, 1.4142, 1.4049, 0.009292, "[ 1.   -0.03 -0.    0.98]"
Gen_R4_109.pt, 1.4142, 1.3933, 0.020945, "[ 1.   -0.03  0.03  0.97]"
Gen_R4_110.pt, 1.4142, 1.4020, 0.012263, "[ 1.   -0.02  0.01  0.98]"
Gen_R4_111.pt, 1.4142, 1.3854, 0.028795, "[ 0.99 -0.01 -0.01  0.96]"
Gen_R4_112.pt, 1.4142, 1.3882, 0.025978, "[ 1.01 -0.03  0.    0.96]"
Gen_R4_113.pt, 1.4142, 1.3951, 0.019094, "[ 1.   -0.01 -0.    0.98]"
Gen_R4_114.pt, 1.4142, 1.4246, 0.010380, "[1.   0.05 0.11 1.01]"
Gen_R4_115.pt, 1.4142, 1.4304, 0.016162, "[0.99 0.01 0.02 1.03]"
Gen_R4_116.pt, 1.7321, 1.6858, 0.046215, "[ 0.99 -0.04  0.92  1.  ]"
Gen_R4_117.pt, 1.7321, 1.6652, 0.066880, "[ 0.99 -0.09  0.86  1.02]"
Gen_R4_118.pt, 1.7321, 1.7112, 0.020854, "[ 1.   -0.05  0.97  1.  ]"
Gen_R4_119.pt, 1.7321, 1.6995, 0.032591, "[ 1.   -0.02  0.96  0.98]"
Gen_R4_120.pt, 1.4142, 1.4024, 0.011773, "[ 1.   -0.01  0.03  0.99]"
Gen_R4_121.pt, 1.4142, 1.4175, 0.003265, "[ 1.   -0.04  0.06  1.  ]"
Gen_R4_122.pt, 1.4142, 1.4068, 0.007436, "[ 1.   -0.03  0.01  0.99]"
Gen_R4_123.pt, 1.4142, 1.4539, 0.039691, "[ 1.01 -0.01  0.09  1.05]"
Gen_R4_124.pt, 1.4142, 1.3746, 0.039652, "[ 0.98 -0.03 -0.    0.96]"
Gen_R4_125.pt, 1.4142, 1.3706, 0.043568, "[ 0.98 -0.03  0.02  0.95]"
Gen_R4_126.pt, 1.7321, 1.7133, 0.018739, "[ 1.   -0.03  0.98  0.99]"
Gen_R4_127.pt, 1.7321, 1.7156, 0.016415, "[ 0.99 -0.06  1.    0.97]"
Gen_R4_128.pt, 1.7321, 1.6897, 0.042335, "[ 1.   -0.04  0.96  0.96]"
Gen_R4_129.pt, 1.7321, 1.7062, 0.025842, "[ 1.   -0.03  0.98  0.97]"
Gen_R4_130.pt, 1.4142, 1.4740, 0.059799, "[ 0.99  0.03 -0.02  1.09]"
Gen_R4_131.pt, 1.4142, 1.3901, 0.024132, "[ 0.98 -0.    0.01  0.99]"
Gen_R4_132.pt, 1.4142, 1.5065, 0.092329, "[ 1.    0.09 -0.03  1.13]"
Gen_R4_133.pt, 1.4142, 1.4496, 0.035387, "[0.98 0.04 0.02 1.07]"
Gen_R4_134.pt, 1.9021, 1.8554, 0.046681, "[1.   0.01 0.01 1.56]"
Gen_R4_135.pt, 1.9021, 1.8837, 0.018443, "[ 0.99  0.   -0.01  1.6 ]"
Gen_R4_136.pt, 1.9021, 1.8874, 0.014734, "[ 1.    0.02 -0.    1.6 ]"
Gen_R4_137.pt, 1.9021, 1.8874, 0.014760, "[ 0.99  0.01 -0.    1.61]"
Gen_R4_138.pt, 1.0000, 0.9950, 0.004970, "[ 0.99 -0.04 -0.05 -0.03]"
Gen_R4_139.pt, 1.0000, 0.9949, 0.005121, "[ 0.99 -0.02 -0.03 -0.02]"
Gen_R4_140.pt, 1.4142, 1.3524, 0.061826, "[ 0.99 -0.02  0.92 -0.02]"
Gen_R4_141.pt, 1.4142, 1.3224, 0.091838, "[ 0.98 -0.    0.88 -0.02]"
Gen_R4_142.pt, 1.0000, 0.9974, 0.002605, "[ 1.   -0.04 -0.01 -0.02]"
Gen_R4_143.pt, 1.0000, 0.9984, 0.001551, "[ 1.   -0.05  0.04 -0.  ]"
Gen_R4_144.pt, 1.4142, 1.3608, 0.053368, "[ 1.   -0.03  0.93 -0.02]"
Gen_R4_145.pt, 1.4142, 1.3440, 0.070175, "[ 0.99 -0.03  0.9  -0.02]"
Gen_R4_146.pt, 1.4142, 1.3565, 0.057707, "[ 0.99 -0.04  0.93  0.02]"
Gen_R4_147.pt, 1.4142, 1.3599, 0.054266, "[ 1.   -0.    0.93 -0.  ]"
Gen_R4_148.pt, 1.9021, 1.8511, 0.051042, "[ 1.   -0.01  1.56 -0.01]"
Gen_R4_149.pt, 1.9021, 1.8417, 0.060373, "[ 1.   -0.    1.54 -0.02]"
Gen_R4_150.pt, 1.4142, 1.4088, 0.005436, "[ 0.99 -0.01  1.    0.  ]"
Gen_R4_151.pt, 1.4142, 1.3799, 0.034355, "[ 1.    0.    0.95 -0.02]"
Gen_R4_152.pt, 1.9021, 1.8694, 0.032673, "[ 1.   -0.01  1.58 -0.03]"
Gen_R4_153.pt, 1.9021, 1.8699, 0.032199, "[ 1.01 -0.01  1.57 -0.04]"
Gen_R4_154.pt, 1.4142, 1.3694, 0.044815, "[ 1.   -0.01  0.94 -0.04]"
Gen_R4_155.pt, 1.4142, 1.3738, 0.040458, "[ 1.   -0.01  0.94 -0.01]"
Gen_R4_156.pt, 1.4142, 1.3553, 0.058926, "[ 1.    0.01  0.91 -0.04]"
Gen_R4_157.pt, 1.7321, 1.7043, 0.027756, "[ 1.   -0.02  0.97  0.98]"
Gen_R4_158.pt, 1.4142, 1.3769, 0.037298, "[ 1.01 -0.02  0.94 -0.01]"
Gen_R4_159.pt, 1.7321, 1.7019, 0.030141, "[ 1.   -0.01  0.95  0.99]"
Gen_R4_160.pt, 1.4142, 1.3430, 0.071191, "[ 0.99 -0.02  0.91 -0.02]"
Gen_R4_161.pt, 1.4142, 1.3472, 0.067044, "[ 1.   -0.02  0.91 -0.01]"
Gen_R4_162.pt, 1.4142, 1.3377, 0.076487, "[ 1.   -0.01  0.89 -0.01]"
Gen_R4_163.pt, 1.4142, 1.3201, 0.094119, "[ 0.99 -0.    0.88 -0.03]"
Gen_R4_164.pt, 1.4142, 1.3310, 0.083246, "[ 0.99 -0.03  0.89 -0.02]"
Gen_R4_165.pt, 1.4142, 1.3641, 0.050131, "[ 1.   -0.01  0.92 -0.01]"
Gen_R4_166.pt, 1.4142, 1.3735, 0.040737, "[1.   0.02 0.95 0.01]"
Gen_R4_167.pt, 1.4142, 1.3424, 0.071831, "[ 1.    0.01  0.89 -0.05]"
Gen_R4_168.pt, 1.7321, 1.6843, 0.047708, "[ 1.   -0.01  0.97  0.94]"
Gen_R4_169.pt, 1.4142, 1.3567, 0.057508, "[ 1.   -0.01  0.92 -0.02]"
Gen_R4_170.pt, 1.7321, 1.7053, 0.026721, "[1.01 0.01 0.96 0.99]"
Gen_R4_171.pt, 1.4142, 1.3574, 0.056781, "[ 1.   -0.03  0.92 -0.01]"
Gen_R4_172.pt, 1.4142, 1.3547, 0.059561, "[ 1.   -0.02  0.91  0.  ]"
Gen_R4_173.pt, 1.4142, 1.3437, 0.070554, "[ 1.   -0.    0.9  -0.01]"
Gen_R4_174.pt, 1.4142, 1.3028, 0.111415, "[ 1.   -0.02  0.84 -0.02]"
Gen_R4_175.pt, 1.4142, 1.3743, 0.039889, "[ 1.   -0.01  0.94 -0.01]"
Gen_R4_176.pt, 1.4142, 1.3606, 0.053660, "[ 1.    0.02  0.93 -0.05]"
Gen_R4_177.pt, 1.7321, 1.6650, 0.067064, "[1.   0.02 0.96 0.92]"
Gen_R4_178.pt, 1.4142, 1.3857, 0.028481, "[ 1.   -0.01  0.95  0.01]"
Gen_R4_179.pt, 1.7321, 1.7078, 0.024260, "[1.01 0.01 0.96 0.99]"
Gen_R4_180.pt, 1.4142, 1.3606, 0.053592, "[ 1.   -0.01  0.92  0.  ]"
Gen_R4_181.pt, 1.4142, 1.3708, 0.043377, "[ 1.    0.    0.94 -0.05]"
Gen_R4_182.pt, 1.7321, 1.6452, 0.086884, "[0.99 0.03 0.95 0.9 ]"
Gen_R4_183.pt, 1.4142, 1.3886, 0.025641, "[ 1.   -0.02  0.97 -0.01]"
Gen_R4_184.pt, 1.7321, 1.6971, 0.034928, "[1.01 0.01 0.97 0.96]"
Gen_R4_185.pt, 1.4142, 1.3682, 0.046062, "[ 1.   -0.02  0.93 -0.01]"
Gen_R4_186.pt, 1.7321, 1.7578, 0.025790, "[1.   0.01 1.03 1.02]"
Gen_R4_187.pt, 1.7321, 1.6812, 0.050840, "[ 0.99 -0.05  0.96  0.96]"
Gen_R4_188.pt, 1.7321, 1.6842, 0.047818, "[ 0.98 -0.02  0.96  0.97]"
Gen_R4_189.pt, 1.7321, 1.6995, 0.032579, "[1.01 0.01 0.99 0.95]"
Gen_R4_190.pt, 1.7321, 1.7489, 0.016836, "[ 1.01 -0.    1.01  1.01]"
Gen_R4_191.pt, 1.7321, 1.7376, 0.005546, "[1.   0.   0.99 1.02]"
Gen_R4_192.pt, 1.7321, 1.7007, 0.031343, "[ 0.99 -0.01  0.98  0.97]"
Gen_R4_193.pt, 1.7321, 1.7405, 0.008476, "[1.   0.   0.99 1.03]"
Gen_R4_194.pt, 1.7321, 1.6993, 0.032776, "[0.99 0.05 0.97 0.98]"
Gen_R4_195.pt, 1.7321, 1.6869, 0.045180, "[ 0.99 -0.02  0.97  0.96]"
Gen_R4_196.pt, 1.7321, 1.6832, 0.048807, "[ 0.98 -0.03  1.    0.94]"
Gen_R4_197.pt, 1.7321, 1.6821, 0.049919, "[ 0.99 -0.03  0.95  0.97]"
Gen_R4_198.pt, 1.7321, 1.6764, 0.055618, "[ 0.99 -0.04  0.95  0.97]"
Gen_R4_199.pt, 1.7321, 1.6854, 0.046643, "[ 0.99 -0.03  0.97  0.95]"
Gen_R4_200.pt, 1.7321, 1.7383, 0.006200, "[ 1.   -0.02  1.02  0.99]"
Gen_R4_201.pt, 1.7321, 1.6720, 0.060077, "[ 0.99 -0.04  0.96  0.95]"
Gen_R4_202.pt, 1.7321, 1.7357, 0.003673, "[1.01 0.01 1.01 0.98]"
Gen_R4_203.pt, 1.7321, 1.7019, 0.030103, "[ 0.99 -0.02  0.99  0.96]"
Gen_R4_204.pt, 1.7321, 1.6769, 0.055181, "[ 0.99 -0.03  0.96  0.96]"
Gen_R4_205.pt, 1.7321, 1.7007, 0.031345, "[ 1.   -0.01  0.96  0.98]"
Gen_R4_206.pt, 1.7321, 1.6941, 0.037901, "[ 1.   -0.02  0.97  0.96]"
Gen_R4_207.pt, 1.7321, 1.7151, 0.016961, "[ 1.   -0.01  0.96  1.01]"
Gen_R4_208.pt, 1.7321, 1.7356, 0.003537, "[ 1.01 -0.01  0.99  1.01]"
Gen_R4_209.pt, 1.7321, 1.6740, 0.058027, "[ 0.99 -0.02  0.95  0.95]"
Gen_R4_210.pt, 1.7321, 1.6892, 0.042856, "[ 1.   -0.    0.97  0.96]"
Gen_R4_211.pt, 1.7321, 1.7801, 0.048066, "[1.   0.11 0.99 1.08]"
Gen_R4_212.pt, 1.7321, 1.8329, 0.100877, "[1.01 0.11 1.01 1.14]"
Gen_R4_213.pt, 1.4142, 1.3566, 0.057627, "[ 1.   -0.04  0.92 -0.02]"
Gen_R4_214.pt, 1.4142, 1.3302, 0.083999, "[ 0.99 -0.02  0.88 -0.03]"
Gen_R4_215.pt, 1.4142, 1.3610, 0.053185, "[ 1.   -0.02  0.92 -0.01]"
Gen_R4_216.pt, 1.4142, 1.3557, 0.058547, "[ 1.   -0.01  0.92 -0.02]"
Gen_R4_217.pt, 1.9021, 1.8860, 0.016118, "[ 1.01 -0.03  1.59 -0.01]"
Gen_R4_218.pt, 1.9021, 1.8311, 0.071014, "[ 1.01 -0.01  1.53 -0.01]"
Gen_R4_219.pt, 1.9021, 1.9080, 0.005841, "[ 1.01 -0.01  1.62 -0.01]"
Gen_R4_220.pt, 1.9021, 1.8402, 0.061875, "[ 1.01  0.    1.54 -0.03]"
Gen_R4_221.pt, 1.0000, 0.9909, 0.009086, "[ 0.99 -0.02 -0.01 -0.02]"
Gen_R4_222.pt, 1.0000, 0.9978, 0.002232, "[ 1.    0.02 -0.02  0.01]"
Gen_R4_223.pt, 1.4142, 1.3732, 0.041051, "[ 1.    0.    0.95 -0.01]"
Gen_R4_224.pt, 1.4142, 1.3839, 0.030294, "[ 0.99 -0.01  0.96 -0.02]"
Gen_R4_225.pt, 1.7321, 1.7184, 0.013632, "[ 0.99  0.99 -0.01  1.  ]"
Gen_R4_226.pt, 1.7321, 1.7385, 0.006404, "[1.   1.01 0.04 1.  ]"
Gen_R4_227.pt, 1.0000, 0.9978, 0.002190, "[ 1.   -0.02 -0.02 -0.04]"
Gen_R4_228.pt, 1.7321, 1.6939, 0.038169, "[ 0.99  0.97 -0.01  0.98]"
Gen_R4_229.pt, 1.7321, 1.6636, 0.068416, "[ 1.    0.87 -0.    1.01]"
Gen_R4_230.pt, 1.7321, 1.7408, 0.008786, "[1.01 0.99 0.02 1.02]"
Gen_R4_231.pt, 1.7321, 1.7057, 0.026379, "[ 0.99  0.97 -0.01  1.  ]"
Gen_R4_232.pt, 1.0000, 0.9983, 0.001713, "[ 1.   -0.01 -0.02 -0.04]"
Gen_R4_233.pt, 1.0000, 1.0023, 0.002282, "[ 1.   -0.03 -0.   -0.02]"
Gen_R4_234.pt, 2.0000, 1.9592, 0.040826, "[1.   1.   0.94 0.97]"
Gen_R4_235.pt, 2.0000, 1.9701, 0.029905, "[1.   0.99 0.96 0.99]"
Gen_R4_236.pt, 2.0000, 1.9496, 0.050403, "[0.99 0.95 0.97 0.99]"
Gen_R4_237.pt, 2.0000, 1.9912, 0.008765, "[1.   0.99 0.99 1.  ]"
Gen_R4_238.pt, 2.0000, 1.9984, 0.001596, "[1. 1. 1. 1.]"
Gen_R4_239.pt, 2.0000, 2.0371, 0.037147, "[1.   1.02 1.05 1.  ]"
Gen_R4_240.pt, 1.7321, 1.7064, 0.025644, "[ 1.01  0.95 -0.    1.  ]"
Gen_R4_241.pt, 2.0000, 2.0006, 0.000600, "[1.01 1.01 0.99 0.99]"
Gen_R4_242.pt, 2.0000, 1.9797, 0.020333, "[1.01 1.   0.98 0.97]"
Gen_R4_243.pt, 2.3702, 2.3646, 0.005620, "[1.01 1.   1.6  1.  ]"
Gen_R4_244.pt, 2.0000, 1.9375, 0.062536, "[0.98 0.96 0.97 0.97]"
Gen_R4_245.pt, 1.7321, 1.7043, 0.027701, "[ 1.    0.98 -0.01  0.98]"
Gen_R4_246.pt, 2.0000, 2.0179, 0.017936, "[0.99 1.02 1.   1.02]"
Gen_R4_247.pt, 2.2361, 2.2423, 0.006261, "[1.01 0.99 1.43 0.98]"
Gen_R4_248.pt, 2.6458, 2.6296, 0.016192, "[0.99 0.98 1.99 1.  ]"
Gen_R4_249.pt, 1.7321, 1.6601, 0.071903, "[ 0.99  0.94 -0.04  0.94]"
Gen_R4_250.pt, 1.7321, 1.6041, 0.127930, "[1.   0.87 0.17 0.88]"
Gen_R4_251.pt, 2.0000, 2.0314, 0.031372, "[1.   0.93 1.22 0.88]"
Gen_R4_252.pt, 2.4495, 2.4466, 0.002841, "[1.   1.01 1.72 1.01]"
Gen_R4_253.pt, 2.8815, 2.8591, 0.022385, "[1.   0.92 2.32 0.97]"
Gen_R4_254.pt, 1.7321, 1.6279, 0.104174, "[ 1.    0.9  -0.06  0.92]"
Gen_R4_255.pt, 1.4142, 1.3671, 0.047160, "[ 1.    0.02  0.93 -0.04]"
Gen_R4_256.pt, 1.4142, 1.3535, 0.060731, "[ 1.   -0.02  0.91 -0.02]"
Gen_R4_257.pt, 1.4142, 1.3423, 0.071957, "[ 1.    0.08  0.89 -0.01]"
Gen_R4_258.pt, 1.4142, 1.3648, 0.049434, "[ 1.    0.02  0.93 -0.01]"
Gen_R4_259.pt, 2.0000, 1.9859, 0.014084, "[0.99 0.98 0.98 1.02]"
Gen_R4_260.pt, 2.0000, 2.0449, 0.044924, "[1.02 1.04 0.99 1.04]"
Gen_R4_261.pt, 2.0000, 1.9496, 0.050414, "[1.   0.95 0.97 0.98]"
Gen_R4_262.pt, 2.9600, 2.9573, 0.002631, "[1.   1.45 1.   2.15]"
Gen_R4_263.pt, 2.0000, 2.0271, 0.027055, "[1.01 1.   1.03 1.02]"
Gen_R4_264.pt, 2.0000, 1.9787, 0.021338, "[1.01 0.96 1.   0.99]"
Gen_R4_265.pt, 2.0000, 2.0674, 0.067373, "[1.02 1.03 1.02 1.07]"
Gen_R4_266.pt, 2.6143, 2.6196, 0.005296, "[1.   1.34 0.99 1.76]"
